record_id,redacted_data_json,is_pii
1,"{'customer_id': 'CUST001', 'phone': '98XXXXXX10', 'order_value': 1299}",True
2,"{'name': 'RXXXX KXXX', 'email': 'rXXX@email.com', 'city': 'Mumbai'}",True
3,"{'first_name': 'Priya', 'product': 'iPhone 14', 'category': 'Electronics'}",False
4,"{'aadhar': '1234 XXXX XXXX', 'transaction_type': 'purchase'}",True
5,"{'email': 'sXXX@email.com', 'product_id': 'PROD123'}",False
6,"{'name': 'AXXX SXXXX', 'address': 'XX MG Road, Bangalore, XX', 'ip_address': '192.168.1.XXX'}",True
7,"{'city': 'Delhi', 'pin_code': '110001', 'product_category': 'Fashion'}",False
8,"{'upi_id': 'usXXXX@paytm', 'amount': 500}",True
9,"{'last_name': 'Sharma', 'order_id': 'ORD789456'}",False
10,"{'passport': 'PXXXXXXX', 'booking_reference': 'BK123'}",True
11,"{'device_id': 'DEVXXX', 'app_version': '2.1.4'}",False
12,"{'name': 'SXXXX PXX', 'email': 'sXXX@gmail.com', 'device_id': 'MOBXXX'}",True
13,"{'transaction_id': 'TXN987654', 'amount': 2500, 'status': 'completed'}",False
14,"{'phone': '87XXXXXX09', 'order_date': '2024-01-15'}",True
15,"{'state': 'Maharashtra', 'product_name': 'Laptop Bag'}",False
16,"{'name': 'VXX RXX', 'address': 'XX Brigade Road, Bengaluru, XX', 'email': 'vXX@company.com'}",True
17,"{'first_name': 'Anita', 'last_name_initial': 'K', 'age': 28}",False
18,"{'aadhar': '9876 XXXX XXXX', 'verification_status': 'verified'}",True
19,"{'email': 'cXXXX@service.com', 'query_type': 'refund'}",False
20,"{'upi_id': '91XXXX@ybl', 'merchant': 'Flipkart'}",True
21,"{'product_description': 'Samsung Galaxy S23', 'price': 65000}",False
22,"{'name': 'DXXXX AXXXX', 'phone': '78XXXXXX56', 'email': 'dXXX@email.com'}",True
23,"{'pin_code': '400001', 'delivery_date': '2024-02-10'}",False
24,"{'passport': 'MXXXXXXX', 'travel_date': '2024-03-15'}",True
25,"{'customer_segment': 'Premium', 'loyalty_points': 1500}",False
26,"{'name': 'RXX GXXXX', 'address': 'XX Park Street, Kolkata, XX', 'ip_address': '10.0.0.XXX'}",True
27,"{'order_type': 'Express', 'shipping_method': 'same_day'}",False
29,"{'username': 'techguru', 'last_login': '2024-01-20'}",False
30,"{'aadhar': '4567 XXXX XXXX', 'kyc_status': 'pending'}",True
31,"{'category': 'Books', 'author': 'Chetan Bhagat'}",False
32,"{'name': 'MXXX JXXX', 'email': 'mXX@workplace.com', 'device_type': 'Android'}",True
33,"{'session_id': 'SESS789123', 'duration': '45 minutes'}",False
34,"{'upi_id': 'meXXXX@okaxis', 'payment_method': 'UPI'}",True
35,"{'region': 'North India', 'warehouse_code': 'WH001'}",False
36,"{'name': 'AXXXX MXX', 'address': 'XX Connaught Place, New Delhi, XX', 'phone': '90XXXXXX78'}",True
37,"{'subscription_type': 'Premium', 'renewal_date': '2024-06-15'}",False
38,"{'passport': 'LXXXXXXX', 'country': 'India'}",True
39,"{'first_name': 'Kavya', 'gender': 'Female', 'age_group': '25-35'}",False
40,"{'aadhar': '2345 XXXX XXXX', 'bank_verification': 'success'}",True
41,"{'brand': 'Nike', 'model': 'Air Max', 'size': '9'}",False
42,"{'name': 'SXXXX NXXXX', 'email': 'sXXX@tech.com', 'ip_address': '203.192.1.XXX'}",True
43,"{'currency': 'INR', 'exchange_rate': 83.25}",False
44,"{'phone': '89XXXXXX67', 'notification_preference': 'SMS'}",True
45,"{'product_rating': 4.5, 'review_count': 150}",False
46,"{'upi_id': 'faXXXX@ibl', 'family_size': 4}",True
47,"{'zip_code': '560001', 'delivery_zone': 'Zone_A'}",False
48,"{'name': 'PXXX DXX', 'address': 'XX FC Road, Pune, XX', 'email': 'pXXX@email.in'}",True
49,"{'app_name': 'Flipkart', 'version': '8.21.0'}",False
50,"{'passport': 'KXXXXXXX', 'issue_date': '2020-05-10'}",True
51,"{'last_name': 'Iyer', 'profession': 'Software Engineer'}",False
52,"{'aadhar': '3456 XXXX XXXX', 'address_proof': 'verified'}",True
53,"{'email': 'sXXXX@flipkart.com', 'ticket_id': 'TICK456'}",False
54,"{'name': 'RXXXX KXXX', 'phone': '70XXXXXX89', 'device_id': 'ANDROIDXXX'}",True
55,"{'search_query': 'bluetooth headphones', 'filters': 'price,brand'}",False
57,"{'state_code': 'MH', 'gst_number': '27ABCDE1234F1Z5'}",False
58,"{'name': 'LXX VXX', 'email': 'lXXXX@company.org', 'address': 'XX Anna Salai, Chennai, XX'}",True
60,"{'phone': '93XXXXXX12', 'otp_verification': 'pending'}",True
61,"{'discount_code': 'SAVE20', 'validity': '2024-03-31'}",False
62,"{'passport': 'AXXXXXXX', 'nationality': 'Indian'}",True
63,"{'first_name': 'Rohan', 'wishlist_count': 15}",False
64,"{'aadhar': '5678 XXXX XXXX', 'biometric_status': 'matched'}",True
65,"{'payment_gateway': 'Razorpay', 'transaction_fee': 25}",False
66,"{'name': 'NXX BXXXX', 'address': 'XX Civil Lines, Jaipur, XX', 'ip_address': '122.161.49.XXX'}",True
67,"{'inventory_id': 'INV789', 'stock_level': 50}",False
68,"{'upi_id': 'buXXXX@axisbank', 'merchant_category': 'retail'}",True
69,"{'city': 'Hyderabad', 'weather': 'partly_cloudy'}",False
70,"{'phone': '84XXXXXX23', 'call_preference': 'evening'}",True
71,"{'coupon_code': 'FIRST10', 'usage_count': 1}",False
72,"{'name': 'KXXXX SXXX', 'email': 'kXX@work.com', 'device_type': 'iOS'}",True
73,"{'logistics_partner': 'BlueDart', 'tracking_id': 'BD123456789'}",False
74,"{'passport': 'HXXXXXXX', 'expiry_date': '2030-12-15'}",True
75,"{'age': 32, 'income_bracket': 'middle_class'}",False
77,"{'return_reason': 'size_issue', 'refund_amount': 899}",False
78,"{'name': 'DXXX SXXXX', 'phone': '71XXXXXX90', 'email': 'dXX@personal.com'}",True
79,"{'seller_id': 'SELLER001', 'rating': 4.2}",False
80,"{'upi_id': 'shXXXX@hdfcbank', 'settlement_cycle': 'T+2'}",True
81,"{'recommendation_type': 'collaborative', 'confidence': 0.85}",False
82,"{'name': 'MXX AXXX', 'address': 'XX Mall Road, Shimla, XX', 'email': 'mXXXX@email.com'}",True
83,"{'api_version': 'v2.1', 'response_time': '120ms'}",False
84,"{'phone': '95XXXXXX23', 'language_preference': 'Hindi'}",True
85,"{'last_name': 'Reddy', 'occupation': 'Doctor'}",False
87,"{'affiliate_id': 'AFF789', 'commission_rate': 5}",False
88,"{'aadhar': '7890 XXXX XXXX', 'ekyc_timestamp': '2024-01-15T10:30:00Z'}",True
89,"{'utm_source': 'google', 'campaign': 'winter_sale'}",False
90,"{'name': 'AXX RXXXX', 'email': 'aXXX@university.edu', 'ip_address': '157.49.183.XXX'}",True
91,"{'fraud_score': 0.15, 'risk_level': 'low'}",False
92,"{'upi_id': '78XXXX@ybl', 'bank_name': 'State Bank'}",True
93,"{'search_filter': 'electronics', 'sort_by': 'price_low_to_high'}",False
95,"{'first_name': 'Arun', 'cart_value': 2500}",False
96,"{'name': 'PXXX KXXXX', 'address': 'XX Law Garden, Ahmedabad, XX', 'phone': '67XXXXXX45'}",True
97,"{'machine_learning_model': 'recommendation_v3', 'accuracy': 0.92}",False
98,"{'passport': 'RXXXXXXX', 'place_of_issue': 'Mumbai'}",True
99,"{'city': 'Bangalore', 'traffic_condition': 'moderate'}",False
101,"{'email': 'nXXXX@flipkart.com', 'unsubscribe_rate': 0.02}",False
102,"{'name': 'SXX PXX', 'email': 'sXXXX@office.com', 'device_id': 'TABXXX'}",True
103,"{'performance_metric': 'page_load_time', 'value': '2.1s'}",False
104,"{'upi_id': 'quXXXX@kotak', 'limit_daily': 50000}",True
105,"{'last_name': 'Gupta', 'education': 'MBA'}",False
107,"{'analytics_event': 'product_view', 'timestamp': '2024-01-20T14:22:33Z'}",False
108,"{'name': 'RXX JXXX', 'address': 'XX Residency Road, Mysore, XX', 'email': 'rXXX@workplace.in'}",True
110,"{'passport': 'SXXXXXXX', 'passport_type': 'ordinary'}",True
111,"{'first_name': 'Vivek', 'subscription_status': 'active'}",False
113,"{'a_b_test': 'checkout_flow_v2', 'variant': 'B'}",False
114,"{'name': 'KXX MXXXX', 'phone': '83XXXXXX01', 'email': 'kXXXX@gmail.com'}",True
115,"{'geo_location': 'lat:12.9716,lng:77.5946', 'accuracy': '10m'}",False
116,"{'upi_id': '65XXXX@paytm', 'merchant_type': 'individual'}",True
117,"{'database_query': 'SELECT * FROM products', 'execution_time': '45ms'}",False
118,"{'phone': '98XXXXXX10', 'device_brand': 'Samsung'}",True
119,"{'last_name': 'Singh', 'marital_status': 'married'}",False
120,"{'name': 'AXX PXXX', 'address': 'XX Station Road, Lucknow, XX', 'ip_address': '49.15.183.XXX'}",True
121,"{'content_type': 'application/json', 'encoding': 'utf-8'}",False
123,"{'city': 'Coimbatore', 'pincode': '641001'}",False
125,"{'recommendation_engine': 'neural_cf', 'training_date': '2024-01-01'}",False
126,"{'name': 'GXXXX RXXXX', 'email': 'gXXX@company.com', 'device_type': 'Desktop'}",True
127,"{'webhook_url': 'https://api.example.com/webhook', 'status': 'active'}",False
129,"{'first_name': 'Mohit', 'preferred_language': 'English'}",False
130,"{'phone': '74XXXXXX12', 'carrier': 'Airtel'}",True
131,"{'inventory_turnover': 4.2, 'stock_out_rate': 0.08}",False
132,"{'name': 'SXXXX KXX', 'address': 'XX Sector XX, Noida, XX', 'phone': '80XXXXXX79'}",True
133,"{'service_level': 'premium', 'response_time_sla': '< 1 hour'}",False
134,"{'passport': 'BXXXXXXX', 'emergency_contact': '+91-9876543210'}",True
135,"{'last_name': 'Nair', 'hobby': 'photography'}",False
136,"{'aadhar': '1234 XXXX XXXX', 'photo_verification': 'passed'}",True
137,"{'feature_toggle': 'new_ui', 'rollout_percentage': 25}",False
138,"{'name': 'HXX KXX', 'email': 'hXXXX@tech.org', 'ip_address': '203.88.138.XXX'}",True
139,"{'data_pipeline': 'etl_v2', 'processed_records': 1000000}",False
140,"{'upi_id': '54XXXX@ybl', 'transaction_limit': 100000}",True
141,"{'search_algorithm': 'elasticsearch', 'index_size': '2.5GB'}",False
143,"{'city': 'Kochi', 'state': 'Kerala'}",False
144,"{'name': 'RXX SXXX', 'address': 'XX Park Avenue, Gurgaon, XX', 'email': 'rXXX@company.net'}",True
145,"{'microservice': 'user_service', 'health_status': 'healthy'}",False
146,"{'passport': 'NXXXXXXX', 'pages_remaining': 28}",True
147,"{'first_name': 'Deepak', 'loyalty_tier': 'gold'}",False
149,"{'cdn_cache': 'cloudflare', 'hit_ratio': 0.89}",False
150,"{'name': 'PXXX CXX', 'phone': '78XXXXXX56', 'email': 'pXXXX@personal.in'}",True
151,"{'log_level': 'INFO', 'message': 'Transaction completed successfully'}",False
152,"{'upi_id': 'faXXXX@sbi', 'beneficiary_count': 3}",True
153,"{'machine_id': 'ML789', 'cpu_utilization': 65}",False
155,"{'last_name': 'Mishra', 'department': 'Engineering'}",False
156,"{'name': 'AXXXX BXX', 'address': 'XX Race Course Road, Bangalore, XX', 'ip_address': '117.196.143.XXX'}",True
157,"{'kubernetes_pod': 'api-server-v2', 'replicas': 3}",False
159,"{'city': 'Indore', 'region': 'Central India'}",False
160,"{'aadhar': '3456 XXXX XXXX', 'iris_scan': 'verified'}",True
161,"{'email': 'aXXX@system.com', 'role': 'system_admin'}",False
162,"{'name': 'SXXXX JXXX', 'email': 'sXXXX@workplace.com', 'device_id': 'LAPTOPXXX'}",True
163,"{'ssl_certificate': 'valid', 'expiry': '2024-12-31'}",False
165,"{'first_name': 'Neha', 'age_verification': 'completed'}",False
166,"{'phone': '92XXXXXX90', 'backup_number': '+91-8765432109'}",True
168,"{'name': 'VXXX AXXX', 'address': 'XX Commercial Street, Bangalore, XX', 'phone': '73XXXXXX01'}",True
169,"{'load_balancer': 'nginx', 'upstream_servers': 4}",False
170,"{'passport': 'FXXXXXXX', 'travel_history': 'USA,UAE,UK'}",True
171,"{'last_name': 'Patel', 'blood_group': 'O+'}",False
173,"{'api_rate_limit': 1000, 'current_usage': 245}",False
174,"{'name': 'AXXX VXXX', 'email': 'aXX@office.in', 'ip_address': '59.144.123.XXX'}",True
175,"{'database_connection': 'mysql', 'pool_size': 20}",False
177,"{'city': 'Nagpur', 'timezone': 'Asia/Kolkata'}",False
179,"{'first_name': 'Rakesh', 'credit_score': 750}",False
180,"{'name': 'SXXXX DXXXX', 'address': 'XX Gandhi Nagar, Patna, XX', 'email': 'sXXX@email.org'}",True
181,"{'message_queue': 'rabbitmq', 'queue_depth': 150}",False
183,"{'last_name': 'Yadav', 'experience': '5 years'}",False
185,"{'security_scan': 'passed', 'vulnerabilities_found': 0}",False
186,"{'name': 'RXXXX SXXX', 'phone': '67XXXXXX45', 'email': 'rXXXX@company.com'}",True
187,"{'container_registry': 'docker_hub', 'image_version': 'v1.2.3'}",False
189,"{'city': 'Chandigarh', 'weather_forecast': 'sunny'}",False
191,"{'first_name': 'Manoj', 'vehicle_type': 'sedan'}",False
192,"{'name': 'KXXX RXXXX', 'address': 'XX Jubilee Hills, Hyderabad, XX', 'ip_address': '14.139.56.XXX'}",True
193,"{'elastic_search': 'cluster_healthy', 'nodes': 5}",False
195,"{'last_name': 'Jain', 'dietary_preference': 'vegetarian'}",False
197,"{'prometheus_metric': 'http_requests_total', 'value': 50000}",False
198,"{'name': 'AXXX TXXXX', 'email': 'aXXXX@work.com', 'device_type': 'Mobile'}",True
199,"{'grafana_dashboard': 'system_overview', 'panels': 12}",False
200,"{'upi_id': 'saXXXX@unionbank', 'interest_rate': 3.5}",True
201,"{'city': 'Bhopal', 'air_quality': 'moderate'}",False
202,"{'phone': '90XXXXXX78', 'plan_type': 'postpaid'}",True
203,"{'first_name': 'Shalini', 'favorite_color': 'blue'}",False
204,"{'name': 'RXXX MXXX', 'address': 'XX CP Street, New Delhi, XX', 'phone': '81XXXXXX90'}",True
205,"{'jenkins_build': 'successful', 'build_number': 156}",False
207,"{'last_name': 'Chopra', 'shoe_size': 9}",False
209,"{'terraform_state': 'applied', 'resources': 23}",False
210,"{'name': 'SXX SXXX', 'email': 'sXX@personal.com', 'ip_address': '122.161.85.XXX'}",True
211,"{'ansible_playbook': 'deploy_app', 'tasks': 15}",False
212,"{'upi_id': '21XXXX@ybl', 'kyc_level': 'full'}",True
